ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
ST. LANDRY PRIMARY SCHOOL INCL.,LOUISIANA,315,2200326,32-Town: Distant
ST. LOUIS CITY,Missouri,17933,2929280,11-City: Large
ST. LOUIS COUNTY SCHOOL DISTRICT,Minnesota,1914,2700008,42-Rural: Distant
ST. LOUIS LANG IMMERSION SCH,Missouri,493,2900586,11-City: Large
ST. LOUIS PARK PUBLIC SCHOOL DIST.,Minnesota,4446,2733780,13-City: Small
ST. LOUIS PUBLIC SCHOOLS,Michigan,882,2632880,32-Town: Distant
ST. LOUIS VOICES ACADEMY,MISSOURI,135,2932492,11-City: Large
ST. LUCIE,Florida,49308,1201770,12-City: Mid-size
ST. MARTIN PARISH,Louisiana,6680,2201590,31-Town: Fringe
ST. MARY PARISH,Louisiana,7153,2201620,32-Town: Distant
ST. MARY'S COUNTY PUBLIC SCHOOLS,Maryland,16905,2400600,41-Rural: Fringe
ST. MICHAEL-ALBERTVILLE SCHOOLS,Minnesota,6795,2733790,21-Suburb: Large
ST. PAUL CITY SCHOOL,Minnesota,615,2700142,11-City: Large
ST. PAUL SCHOOL OF NORTHERN LIGHTS,MINNESOTA,227,2700458,11-City: Large
ST. PETER PUBLIC SCHOOL DISTRICT,Minnesota,2107,2733870,31-Town: Fringe
ST. TAMMANY PARISH,Louisiana,35956,2201650,13-City: Small
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,Colorado,31607,0805370,22-Suburb: Mid-size
STAFFORD,Kansas,273,2011970,43-Rural: Remote
STAFFORD COUNTY PUBLIC SCHOOLS,Virginia,31812,5103660,21-Suburb: Large
STAFFORD MSD,Texas,3492,4841350,21-Suburb: Large
STAFFORD SCHOOL DISTRICT,Connecticut,1266,0904290,31-Town: Fringe
STAFFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,2644,3415690,21-Suburb: Large
STAMBAUGH CHARTER ACADEMY,Ohio,472,3900467,13-City: Small
STAMFORD CENTRAL SCHOOL DISTRICT,New York,265,3628020,43-Rural: Remote
STAMFORD CHARTER SCHOOL FOR EXCELLENCE DISTRICT,CONNECTICUT,543,0900220,12-City: Mid-size
STAMFORD ISD,Texas,586,4841400,43-Rural: Remote
STAMFORD SCHOOL DISTRICT,Connecticut,16185,0904320,12-City: Mid-size
STAMFORD SCHOOL DISTRICT,Vermont,105,5007680,42-Rural: Distant
STANBERRY R-II,Missouri,375,2929340,43-Rural: Remote
STANDARD ELEMENTARY,California,3193,0637890,21-Suburb: Large
STANDISH-STERLING COMMUNITY SCHOOLS,Michigan,1483,2632940,42-Rural: Distant
STANFIELD ELEMENTARY DISTRICT (4451),Arizona,365,0408130,42-Rural: Distant
STANFIELD SD 61,Oregon,499,4111790,41-Rural: Fringe
STANFORD K-12 SCHOOLS,Montana,108,3024990,43-Rural: Remote
STANHOPE SCHOOL DISTRICT,New Jersey,341,3415720,21-Suburb: Large
STANISLAUS ALTERNATIVE CHARTER DISTRICT,CALIFORNIA,651,0602421,12-City: Mid-size
STANISLAUS COUNTY OFFICE OF EDUCATION,California,781,0691041,21-Suburb: Large
STANISLAUS UNION ELEMENTARY,California,3329,0637950,12-City: Mid-size
STANLEY 2,North Dakota,784,3817570,43-Rural: Remote
STANLEY COUNTY SCHOOL DISTRICT 57-1,South Dakota,432,4624850,33-Town: Remote
STANLEY-BOYD AREA SCHOOL DISTRICT,Wisconsin,1069,5514430,42-Rural: Distant
STANLY COUNTY SCHOOLS,North Carolina,8743,3704320,42-Rural: Distant
STANNARD SCHOOL DISTRICT,Vermont,0,5007710,43-Rural: Remote
STANTON COMM SCHOOL DISTRICT,Iowa,323,1927240,42-Rural: Distant
STANTON COMMUNITY SCHOOLS,Nebraska,377,3100041,42-Rural: Distant
STANTON COUNTY,Kansas,420,2007860,43-Rural: Remote
STANTON ISD,Texas,1062,4841430,42-Rural: Distant
STANTON TOWNSHIP PUBLIC SCHOOLS,Michigan,183,2632970,42-Rural: Distant
STANWOOD-CAMANO SCHOOL DISTRICT,Washington,4880,5308340,31-Town: Fringe
STAPLES-MOTLEY SCHOOL DISTRICT,Minnesota,901,2733900,43-Rural: Remote
STAPLETON PUBLIC SCHOOLS,Nebraska,154,3177100,43-Rural: Remote
STAR CITY SCHOOL DISTRICT,Arkansas,1460,0500028,43-Rural: Remote
STAR INTERNATIONAL ACADEMY,Michigan,2098,2600228,21-Suburb: Large
STAR OF THE NORTH ACADEMY CHARTER S,Minnesota,‡,2700390,41-Rural: Fringe
STAR SCHOOL DISTRICT NO. 054,Washington,0,5308370,42-Rural: Distant
STARBUCK SCHOOL DISTRICT,Washington,765,5308400,43-Rural: Remote
STARK COUNTY AREA,Ohio,736,3906202,13-City: Small
STARK COUNTY CUSD 100,Illinois,669,1737490,42-Rural: Distant
STARK COUNTY ESC,Ohio,0,3904982,21-Suburb: Large
STARK HIGH SCHOOL,Ohio,104,3900175,13-City: Small
STARK SCHOOL DISTRICT,New Hampshire,32,3306330,43-Rural: Remote
STARKVILLE OKTIBBEHA CONSOLIDATED SCHOOL DISTRICT,MISSISSIPPI,4880,2800189,33-Town: Remote
STARKWEATHER 44,North Dakota,54,3817670,43-Rural: Remote
STARMONT COMM SCHOOL DISTRICT,Iowa,531,1927270,43-Rural: Remote
STARPOINT CENTRAL SCHOOL DISTRICT,New York,2999,3628050,41-Rural: Fringe
STARSHINE ACADEMY (85807),Arizona,†,0400416,11-City: Large
STARVED ROCK FOR VOC TECH ED,Illinois,†,1700283,32-Town: Distant
STATE CHARTER SCHOOL INSTITUTE,Colorado,19960,0800020,21-Suburb: Large
STATE COLLEGE AREA SD,Pennsylvania,6799,4222770,13-City: Small
STATE FAIR COMMUNITY COLLEGE,Missouri,0,2900005,33-Town: Remote
STATE SCHOOLS,GEORGIA,273,1300254,21-Suburb: Large
STATE SPECIALTY SCHOOLS I- COASTAL PLAINS HIGH SCHOOL,GEORGIA,1161,1300246,23-Suburb: Small
STATE SPECIALTY SCHOOLS I- DISCOVERY REGIONAL HIGH SCHOOL,GEORGIA,136,1305863,42-Rural: Distant
STATE SPECIALTY SCHOOLS I- DUBOIS INTEGRITY ACADEMY,GEORGIA,1341,1300237,21-Suburb: Large
STATE SPECIALTY SCHOOLS I- FOOTHILLS REGIONAL HIGH SCHOOL,GEORGIA,1475,1300235,12-City: Mid-size
STATE SPECIALTY SCHOOLS I- GEORGIA CONNECTIONS ACADEMY,Georgia,7148,1300227,21-Suburb: Large
STATE SPECIALTY SCHOOLS I- GEORGIA CYBER ACADEMY,GEORGIA,9952,1300232,21-Suburb: Large
STATE SPECIALTY SCHOOLS I- GEORGIA SCHOOL FOR INNOVATION AND,GEORGIA,1015,1300238,42-Rural: Distant
STATE SPECIALTY SCHOOLS I- INTERNATIONAL CHARTER SCH OF ATL,GEORGIA,846,1300234,13-City: Small
STATE SPECIALTY SCHOOLS I- IVY PREPARATORY ACADEMY- INC,Georgia,436,1300226,21-Suburb: Large
STATE SPECIALTY SCHOOLS I- MOUNTAIN EDUCATION HIGH SCHOOL,Georgia,1692,1300214,42-Rural: Distant
STATE SPECIALTY SCHOOLS I- ODYSSEY CHARTER SCHOOL,Georgia,359,1300023,21-Suburb: Large
STATE SPECIALTY SCHOOLS I- SCINTILLA CHARTER ACADEMY,GEORGIA,947,1300236,41-Rural: Fringe
STATE SPECIALTY SCHOOLS I- UTOPIAN ACADEMY FOR THE ARTS TRIL,GEORGIA,147,1305854,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- ACADEMY FOR CLASSICAL EDUCATION,GEORGIA,1808,1300252,12-City: Mid-size
STATE SPECIALTY SCHOOLS II- AMANA ACADEMY WEST ATLANTA,GEORGIA,215,1300265,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,663,1300221,11-City: Large
STATE SPECIALTY SCHOOLS II- ATLANTA SMART ACADEMY,GEORGIA,221,1300259,11-City: Large
STATE SPECIALTY SCHOOLS II- ATLANTA UNBOUND ACADEMY,GEORGIA,199,1300261,11-City: Large
STATE SPECIALTY SCHOOLS II- BACONTON COMMUNITY CHARTER SCH,GEORGIA,941,1300256,42-Rural: Distant
STATE SPECIALTY SCHOOLS II- BROOKHAVEN INNOVATION ACADEMY,GEORGIA,524,1300242,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- CIRRUS CHARTER ACADEMY,GEORGIA,429,1300239,12-City: Mid-size
STATE SPECIALTY SCHOOLS II- COWETA CHARTER ACADEMY,Georgia,‡,1300222,41-Rural: Fringe
STATE SPECIALTY SCHOOLS II- D.E.L.T.A. STEAM ACADEMY,GEORGIA,391,1300262,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- DEKALB BRILLIANCE ACADEMY,GEORGIA,357,1305851,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- DESTINATION CAREER ACADEMY OF GA,GEORGIA,587,1305853,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- ETHOS CLASSICAL CHARTER SCHOOL,GEORGIA,676,1300255,11-City: Large
STATE SPECIALTY SCHOOLS II- EXCELSIOR VILLAGE ACADEMIES,GEORGIA,90,1305862,41-Rural: Fringe
STATE SPECIALTY SCHOOLS II- FURLOW CHARTER SCHOOL,GEORGIA,585,1300258,41-Rural: Fringe
STATE SPECIALTY SCHOOLS II- GENESIS INNOVATION ACADEMY-BOY,GEORGIA,307,1300248,11-City: Large
STATE SPECIALTY SCHOOLS II- GENESIS INNOVATION ACADEMY-GIRL,GEORGIA,318,1300244,11-City: Large
STATE SPECIALTY SCHOOLS II- GEORGIA FUGEES ACADEMY CHARTER,GEORGIA,165,1300263,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- INTERNATIONAL ACADEMY OF SMYRNA,GEORGIA,328,1300249,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- INTERNATIONAL CHARTER ACADEMY O,GEORGIA,268,1300250,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- LIBERATION ACADEMY,GEORGIA,132,1305857,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- LIBERTY TECH CHARTER ACADEMY,GEORGIA,428,1300241,41-Rural: Fringe
STATE SPECIALTY SCHOOLS II- MILES AHEAD CHARTER SCHOOL,GEORGIA,261,1305856,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- NORTHWEST CLASSICAL ACADEMY,GEORGIA,798,1300264,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- PATAULA CHARTER ACADEMY,Georgia,578,1300218,43-Rural: Remote
STATE SPECIALTY SCHOOLS II- PEACE ACADEMY CHARTER SCHOOL,GEORGIA,241,1305855,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- RESURGENCE HALL CHARTER SCHOOL,GEORGIA,408,1300247,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- RESURGENCE HALL MIDDLE ACADEMY,GEORGIA,209,1305852,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- RISE PREPARATORY CHARTER SCHOOL,GEORGIA,313,1305861,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- ROCKY CREEK CHARTER ACADEMY,GEORGIA,47,1305864,12-City: Mid-size
STATE SPECIALTY SCHOOLS II- SAIL CHARTER ACADEMY - SCHOOL FO,GEORGIA,554,1300245,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- SANKOFA MONTESSORI,GEORGIA,144,1305860,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- SLAM ACADEMY OF ATLANTA,GEORGIA,238,1300251,11-City: Large
STATE SPECIALTY SCHOOLS II- SOUTHWEST GEORGIA S.T.E.M. CHAR,GEORGIA,522,1300243,42-Rural: Distant
STATE SPECIALTY SCHOOLS II- SPRING CREEK CHARTER ACADEMY,GEORGIA,474,1300253,41-Rural: Fringe
STATE SPECIALTY SCHOOLS II- STATESBORO STEAM ACADEMY,Georgia,195,1300005,32-Town: Distant
STATE SPECIALTY SCHOOLS II- THE ANCHOR SCHOOL,GEORGIA,208,1305858,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- YI HWANG ACADEMY OF LANGUAGE EX,GEORGIA,459,1300257,21-Suburb: Large
STATE SPECIALTY SCHOOLS II- ZEST PREPARATORY ACADEMY SCHOOL,GEORGIA,209,1305859,21-Suburb: Large
STATE SPONSORED CHARTER SCHOOLS,Nevada,63609,3200001,11-City: Large
STATE STREET ACADEMY,Michigan,286,2600264,13-City: Small
STATE TRAINING SCHOOL,IOWA,†,1999029,43-Rural: Remote
STATEN ISLAND HEBREW PUBLIC CHARTER SCHOOL,NEW YORK,202,3680971,11-City: Large
STATESMEN COLLEGE PREPARATORY ACADEMY FOR BOYS PCS,DISTRICT OF COLUMBIA,311,1100110,11-City: Large
STATESVILLE HOUSING AUTHORITY,North Carolina,†,3700159,31-Town: Fringe
STAUNTON CITY PUBLIC SCHOOLS,Virginia,2692,5103690,13-City: Small
STAUNTON CUSD 6,Illinois,1165,1737590,32-Town: Distant
STE. GENEVIEVE CO. R-II,Missouri,1926,2929370,32-Town: Distant
STEAM ACADEMY CHARTER SCHOOL,MINNESOTA,77,2700453,21-Suburb: Large
STEAM ACADEMY OF WARREN,Ohio,366,3901434,13-City: Small
STEAM ACADEMY OF WARRENSVILLE HEIGHTS,Ohio,339,3901482,21-Suburb: Large
STEAMBOAT SPRINGS SCHOOL DISTRICT AU,COLORADO,†,0899441,33-Town: Remote
STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,Colorado,2509,0806660,33-Town: Remote
STEEL ACADEMY,OHIO,82,3901567,12-City: Mid-size
STEEL CENTER FOR CAREER AND TECHNICAL EDUCATION,Pennsylvania,3,4280050,21-Suburb: Large
STEEL CITY ACADEMY,INDIANA,286,1800171,21-Suburb: Large
STEEL CITY HIGH SCHOOL,OHIO,60,3910062,22-Suburb: Mid-size
STEEL VALLEY SD,Pennsylvania,1429,4222790,21-Suburb: Large
STEELE CANYON HIGH DISTRICT,CALIFORNIA,2198,0601838,41-Rural: Fringe
STEELE CREEK PREPARATORY ACADEMY,NORTH CAROLINA,335,3700454,11-City: Large
STEELEVILLE CUSD 138,Illinois,471,1737650,42-Rural: Distant
STEELTON-HIGHSPIRE SD,Pennsylvania,1474,4222800,21-Suburb: Large
STEELVILLE R-III,Missouri,908,2929430,43-Rural: Remote
STEGER SD 194,Illinois,1507,1737680,21-Suburb: Large
STEHEKIN SCHOOL DISTRICT,Washington,12,5308430,43-Rural: Remote
STEILACOOM HIST. SCHOOL DISTRICT,Washington,3005,5308460,21-Suburb: Large
STELLA ELEMENTARY CHARTER ACADEMY DISTRICT,CALIFORNIA,258,0602322,11-City: Large
STELLA HIGH CHARTER ACADEMY DISTRICT,CALIFORNIA,555,0601532,21-Suburb: Large
STELLA MIDDLE CHARTER ACADEMY DISTRICT,CALIFORNIA,474,0601889,11-City: Large
STEM PREPARATORY ELEMENTARY DISTRICT,CALIFORNIA,303,0602045,11-City: Large
STEP ACADEMY,Minnesota,847,2700367,11-City: Large
STEP CHARTER SCHOOL,Texas,693,4800275,11-City: Large
STEP UP SCHOOLS INC. (4313),Arizona,62,0400040,11-City: Large
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,Texas,253,4801395,33-Town: Remote
STEPHEN-ARGYLE CENTRAL SCHOOLS,Minnesota,282,2700127,43-Rural: Remote
STEPHENS COUNTY,Georgia,3855,1304560,32-Town: Distant
STEPHENSON AREA PUBLIC SCHOOLS,Michigan,380,2633000,43-Rural: Remote
STEPHENVILLE ISD,Texas,3578,4841520,33-Town: Remote
STEPPING STONES ACADEMY (10966),Arizona,221,0400187,21-Suburb: Large
STEPSTONE ACADEMY,Ohio,186,3901498,11-City: Large
STEPTOE SCHOOL DISTRICT,Washington,47,5308490,43-Rural: Remote
STERLING,Kansas,500,2012030,43-Rural: Remote
STERLING,Oklahoma,312,4028590,42-Rural: Distant
STERLING 35,North Dakota,21,3817760,42-Rural: Distant
STERLING CITY ISD,Texas,355,4841550,43-Rural: Remote
STERLING CUSD 5,Illinois,3253,1742310,32-Town: Distant
STERLING MONTESSORI ACADEMY,North Carolina,702,3700046,21-Suburb: Large
STERLING PUBLIC SCHOOLS,Nebraska,224,3177190,42-Rural: Distant
STERLING REGIONAL SCHOOL DISTRICT,New Jersey,854,3402880,21-Suburb: Large
STERLING SCHOOL DISTRICT,Connecticut,310,0904350,41-Rural: Fringe
STEUBENVILLE CITY,Ohio,2841,3904482,13-City: Small
STEVENS POINT AREA PUBLIC SCHOOL DISTRICT,Wisconsin,6911,5514490,32-Town: Distant
STEVENSON-CARSON SCHOOL DISTRICT,Washington,755,5308520,43-Rural: Remote
STEVENSVILLE ELEM,Montana,663,3025020,42-Rural: Distant
STEVENSVILLE H S,Montana,347,3025050,42-Rural: Distant
STEWARD ESD 220,Illinois,57,1737800,42-Rural: Distant
STEWARDSON-STRASBURG CUD 5A,Illinois,433,1737830,43-Rural: Remote
STEWART COUNTY,Tennessee,1972,4703960,42-Rural: Distant
STEWART COUNTY,Georgia,338,1304590,42-Rural: Distant
STEWART CREEK HIGH SCHOOL,North Carolina,342,3700374,11-City: Large
STEWARTSTOWN SCHOOL DISTRICT,New Hampshire,60,3306360,43-Rural: Remote
STEWARTSVILLE C-2,Missouri,246,2929490,42-Rural: Distant
STEWARTVILLE PUBLIC SCHOOL DISTRICT,Minnesota,1976,2738160,31-Town: Fringe
STIDHAM,Oklahoma,93,4028620,43-Rural: Remote
STIGLER,Oklahoma,1150,4028650,43-Rural: Remote
STILLWATER,Montana,†,3000077,43-Rural: Remote
STILLWATER,Oklahoma,6049,4028680,32-Town: Distant
STILLWATER AREA PUBLIC SCHOOLS,Minnesota,8455,2738190,31-Town: Fringe
STILLWATER CENTRAL SCHOOL DISTRICT,New York,1009,3628110,31-Town: Fringe
STILLWATER TOWNSHIP SCHOOL DISTRICT,New Jersey,296,3415750,42-Rural: Distant
STILLWATER/SWT GRASS COOP,Montana,†,3000078,43-Rural: Remote
STILWELL,Oklahoma,1355,4028710,42-Rural: Distant
STO-ROX SD,Pennsylvania,933,4222830,21-Suburb: Large
STOCKBRIDGE COMMUNITY SCHOOLS,Michigan,1075,2633030,42-Rural: Distant
STOCKBRIDGE SCHOOL DISTRICT,Wisconsin,192,5514520,42-Rural: Distant
STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,New York,387,3628140,42-Rural: Distant
STOCKDALE ISD,Texas,861,4841610,42-Rural: Distant
STOCKTON,Kansas,282,2012060,43-Rural: Remote
STOCKTON COLLEGIATE INTERNATIONAL ELEMENTARY DISTRICT,CALIFORNIA,360,0602418,11-City: Large
STOCKTON COLLEGIATE INTERNATIONAL SECONDARY DISTRICT,CALIFORNIA,466,0601792,11-City: Large
STOCKTON CUSD 206,Illinois,490,1737980,43-Rural: Remote
STOCKTON R-I,Missouri,929,2929520,43-Rural: Remote
STOCKTON UNIFIED,California,33648,0638010,11-City: Large
STODDARD SCHOOL DISTRICT,New Hampshire,46,3306390,42-Rural: Distant
STOKES COUNTY SCHOOLS,North Carolina,5553,3704380,41-Rural: Fringe
STONE BANK SCHOOL DISTRICT,Wisconsin,241,5509390,41-Rural: Fringe
STONE BRIDGE DISTRICT,CALIFORNIA,278,0601978,23-Suburb: Small
STONE CORRAL ELEMENTARY,California,109,0638040,42-Rural: Distant
STONE COUNTY SCHOOL DISTRICT,Mississippi,2532,2804170,42-Rural: Distant
STONE HARBOR SCHOOL DISTRICT,New Jersey,88,3415810,21-Suburb: Large
STONE VALLEY COMMUNITY CS,Pennsylvania,87,4200844,42-Rural: Distant
STONEBRIDGE WORLD SCHOOL,Minnesota,240,2700289,11-City: Large
STONEHAM,Massachusetts,2338,2511220,21-Suburb: Large
STONEWALL,Oklahoma,422,4028800,42-Rural: Distant
STONINGTON SCHOOL DISTRICT,Connecticut,1722,0904380,31-Town: Fringe
STONY CREEK JOINT UNIFIED,California,55,0638070,43-Rural: Remote
STOREFRONT ACADEMY CHARTER SCHOOL,NEW YORK,260,3601137,11-City: Large
STOREFRONT ACADEMY HARLEM CHARTER SCHOOL,NEW YORK,96,3601192,11-City: Large
STOREY,Nevada,392,3200450,42-Rural: Distant
STORM LAKE COMM SCHOOL DISTRICT,Iowa,3003,1927390,33-Town: Remote
STOUGHTON,Massachusetts,3759,2511250,21-Suburb: Large
STOUGHTON AREA SCHOOL DISTRICT,Wisconsin,2735,5514550,31-Town: Fringe
STOUTLAND R-II,Missouri,393,2929580,42-Rural: Distant
STOW CREEK TOWNSHIP SCHOOL DISTRICT,New Jersey,130,3415840,41-Rural: Fringe
STOW-MUNROE FALLS CITY SCHOOL DISTRICT,Ohio,4926,3904483,21-Suburb: Large
STOWE TOWN SCHOOL DISTRICT,Vermont,756,5007800,42-Rural: Distant
STRAFFORD R-VI,Missouri,1408,2929640,41-Rural: Fringe
STRAFFORD SCHOOL DISTRICT,New Hampshire,379,3306420,42-Rural: Distant
STRAFFORD SCHOOL DISTRICT,Vermont,162,5007830,42-Rural: Distant
STRAIGHT,Oklahoma,30,4028920,43-Rural: Remote
STRAIN-JAPAN R-XVI,Missouri,87,2912480,42-Rural: Distant
STRASBURG 15,North Dakota,108,3800016,43-Rural: Remote
STRASBURG C-3,Missouri,111,2929670,42-Rural: Distant
STRASBURG SCHOOL DISTRICT 31J,Colorado,1180,0806750,42-Rural: Distant
STRASBURG-FRANKLIN LOCAL,Ohio,484,3905029,32-Town: Distant
STRATFORD,Oklahoma,657,4028980,43-Rural: Remote
STRATFORD COMM SCHOOL DISTRICT,Iowa,74,1927480,42-Rural: Distant
STRATFORD ISD,Texas,527,4841670,43-Rural: Remote
STRATFORD SCHOOL DISTRICT,New Hampshire,54,3306450,43-Rural: Remote
STRATFORD SCHOOL DISTRICT,Wisconsin,774,5514580,42-Rural: Distant
STRATFORD SCHOOL DISTRICT,Connecticut,6578,0904440,21-Suburb: Large
STRATFORD SCHOOL DISTRICT,New Jersey,889,3415870,21-Suburb: Large
STRATHAM SCHOOL DISTRICT,New Hampshire,499,3306480,41-Rural: Fringe
STRATHMORE UNION ELEMENTARY,California,702,0638130,41-Rural: Fringe
STRATTON SCHOOL DISTRICT,Vermont,31,5007860,42-Rural: Distant
STRAWN ISD,Texas,172,4841700,43-Rural: Remote
STREAM CHARTER DISTRICT,CALIFORNIA,515,0602057,32-Town: Distant
STREATOR ESD 44,Illinois,1511,1700112,32-Town: Distant
STREATOR TWP HSD 40,Illinois,764,1738100,32-Town: Distant
STREETSBORO CITY,Ohio,1905,3904923,21-Suburb: Large
STRENGTHBUILDING PARTNERS (91992),ARIZONA,40,0400907,21-Suburb: Large
STRIDE ACADEMY,Minnesota,569,2700252,13-City: Small
STRINGTOWN,Oklahoma,252,4029010,43-Rural: Remote
STRONG FOUNDATIONS CHARTER SCHOOL,New Hampshire,337,3300042,31-Town: Fringe
STRONG HUTTIG SCHOOL DISTRICT,Arkansas,284,0512930,43-Rural: Remote
STRONGSVILLE ACADEMY,OHIO,65,3910043,21-Suburb: Large
STRONGSVILLE CITY,Ohio,5757,3904484,21-Suburb: Large
STROTHER,Oklahoma,371,4029040,42-Rural: Distant
STROUD,Oklahoma,852,4029070,43-Rural: Remote
STROUDSBURG AREA SD,Pennsylvania,4361,4222860,31-Town: Fringe
STRUTHERS CITY,Ohio,1589,3904485,21-Suburb: Large
STRYKER LOCAL,Ohio,372,3905065,42-Rural: Distant
STUART,Oklahoma,205,4029100,43-Rural: Remote
STUART PUBLIC SCHOOLS,Nebraska,197,3100082,43-Rural: Remote
STURBRIDGE,Massachusetts,842,2511310,31-Town: Fringe
STURGEON BAY SCHOOL DISTRICT,Wisconsin,1013,5514610,32-Town: Distant
STURGEON R-V,Missouri,2773,2929700,12-City: Mid-size
STURGIS CHARTER PUBLIC,Massachusetts,825,2500058,13-City: Small
STURGIS PUBLIC SCHOOLS,Michigan,2773,2633090,32-Town: Distant
STUTTGART SCHOOL DISTRICT,Arkansas,1584,0512960,33-Town: Remote
SUBLETTE,Kansas,366,2012090,43-Rural: Remote
SUBLETTE COUNTY SCHOOL DISTRICT #1,Wyoming,1032,5604860,43-Rural: Remote
SUBLETTE COUNTY SCHOOL DISTRICT #9,Wyoming,431,5601260,43-Rural: Remote
SUCCESS ACADEMY,Utah,534,4900037,12-City: Mid-size
SUCCESS ACADEMY,MINNESOTA,366,2700404,13-City: Small
SUCCESS ACADEMY AT BOYS AND GIRLS CLUB,INDIANA,113,1813237,12-City: Mid-size
SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1,New York,919,3601054,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST,NEW YORK,721,3601122,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH,NEW YORK,977,3601123,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4,NEW YORK,590,3601120,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - NORWOOD,NEW YORK,381,3601159,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE,NEW YORK,1124,3601116,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - SHEEPSHEAD BAY,New York,219,3601086,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS,NEW YORK,998,3601118,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS,NEW YORK,410,3601110,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2,New York,271,3601063,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 3,NEW YORK,494,3601140,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1,New York,513,3601011,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2,New York,904,3601012,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3,New York,1358,3601096,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 5 LOWER,NEW YORK,145,3680966,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 5 UPPER,NEW YORK,101,3680967,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK,NEW YORK,558,3601146,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL,New York,260,3601060,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS,New York,786,3601095,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY,NEW YORK,728,3601151,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH,NEW YORK,598,3601148,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1,New York,1520,3600169,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2,New York,240,3600954,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3,New York,629,3600962,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4,New York,391,3600953,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5,New York,733,3601009,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN,New York,484,3601099,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-HUDSON YARDS,NEW YORK,365,3601167,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-NYC 12,NEW YORK,94,3680982,11-City: Large
SUCCESS ACADEMY CHARTER SCHOOL-NYC 14,NEW YORK,168,3680989,11-City: Large
